Institution,Remains_Not_Made_Available,Remains_Made_Available,Percent_Made_Available
Ohio History Connection,7936,175,2.0
Illinois State Museum,5801,1522,21.0
Harvard Univ.,5431,5248,49.0
"Univ. of California, Berkeley",4794,7189,60.0
Indiana Univ.,4503,1640,27.0
Univ. of Kentucky,3787,978,21.0
"Univ. of Tennessee, Knoxville",3126,2616,46.0
Univ. of Alabama,2732,10746,80.0
Univ. of Arizona,2691,1969,42.0
Univ. of Florida,2620,377,13.0
"Univ. of Missouri, Columbia",2386,643,21.0
Dept. of Defense,2001,5375,73.0
"Center for American Archeology, Kampsville Archeological Center",1947,0,0.0
Dept. of the Interior,1931,13938,88.0
Univ. of Texas at Austin,1898,341,15.0
American Museum of Natural History,1773,1773,50.0
Milwaukee Public Museum,1557,116,7.0
Univ. of Oklahoma,1477,2395,62.0
Florida Dept. of State,1448,79,5.0
Field Museum,1288,594,32.0
State Museum of Pennsylvania,908,177,16.0
"Southern Illinois Univ., Carbondale",846,0,0.0
Arizona State Univ.,786,35,4.0
"Museum of New Mexico, Museum of Indian Arts and Culture",779,279,26.0
Univ. of Michigan,773,904,54.0
Auburn Univ.,762,7,1.0
"Univ. of Illinois, Urbana-Champaign",761,190,20.0
Dept. of Agriculture,721,5856,89.0
Virginia Dept. of Historic Resources,711,169,19.0
Carnegie Museum of Natural History,647,105,14.0
Univ. of North Carolina at Chapel Hill,645,440,41.0
Univ. of New Mexico,583,844,59.0
Univ. of Georgia,568,122,18.0
Mississippi Dept. of Archives and History,551,496,47.0
New York State Museum,515,638,55.0
Florida State Univ.,508,92,15.0
Nassau County Dept. of Parks and Recreation,482,29,6.0
Cincinnati Museum Center,456,73,14.0
Yale Univ.,448,420,48.0
Dayton Museum of Natural History,438,1,0.0
Cleveland Museum of Natural History,438,0,0.0
Natural History Museum of Utah,416,67,14.0
Univ. of Pennsylvania,397,234,37.0
"West Virginia Department of Arts, Culture and History",371,1031,74.0
West Texas A and M Univ.,362,0,0.0
San Francisco State Univ.,357,255,42.0
Univ. of Kansas,357,115,24.0
Western Kentucky Univ.,351,2,1.0
Tennessee Dept. of Environment and Conservation,342,525,61.0
Los Angeles County Natural History Museum,337,202,37.0
Kansas State Historical Society,305,103,25.0
Missouri Dept. of Natural Resources,301,36,11.0
California Dept. of Parks and Recreation,278,947,77.0
Sonoma State Univ.,267,320,55.0
Museum of Texas Tech Univ.,263,123,32.0
North Carolina Office of State Archaeology,259,23,8.0
Univ. of Louisville,259,16,6.0
Gilcrease Museum,255,354,58.0
Ball State Univ.,240,29,11.0
Univ. of Texas at San Antonio,236,61,21.0
Indiana State Univ.,232,0,0.0
Wisconsin Historical Society,227,804,78.0
"Univ. of South Carolina, SCIAA",205,63,24.0
Mississippi State Univ.,196,179,48.0
Missouri Dept. of Transportation,196,0,0.0
Univ. of Alaska Museum of the North,191,33,15.0
Maryland Historical Trust,190,0,0.0
Univ. of Toledo,187,241,56.0
"Pennsylvania Western Univ., California",183,0,0.0
"Univ. of California, Davis",167,270,62.0
Univ. of Cincinnati,166,0,0.0
