Institution,Remains_Not_Made_Available,Remains_Made_Available,Percent_Made_Available
Ohio History Connection,7936,175,2
Illinois State Museum,5801,1522,21
Harvard Univ.,5431,5248,49
"Univ. of California, Berkeley",4794,7189,60
Indiana Univ.,4503,1640,27
Univ. of Kentucky,3787,978,21
"Univ. of Tennessee, Knoxville",3126,2616,46
Univ. of Alabama,2732,10746,80
Univ. of Arizona,2691,1969,42
Univ. of Florida,2620,377,13
"Univ. of Missouri, Columbia",2386,643,21
Dept. of Defense,2001,5375,73
"Center for American Archeology, Kampsville Archeological Center",1947,0,0
Dept. of the Interior,1931,13938,88
Univ. of Texas at Austin,1898,341,15
American Museum of Natural History,1773,1773,50
Milwaukee Public Museum,1557,116,7
Univ. of Oklahoma,1477,2395,62
Florida Dept. of State,1448,79,5
Field Museum,1288,594,32
State Museum of Pennsylvania,908,177,16
"Southern Illinois Univ., Carbondale",846,0,0
Arizona State Univ.,786,35,4
"Museum of New Mexico, Museum of Indian Arts and Culture",779,279,26
Univ. of Michigan,773,904,54
Auburn Univ.,762,7,1
"Univ. of Illinois, Urbana-Champaign",761,190,20
Dept. of Agriculture,721,5856,89
Virginia Dept. of Historic Resources,711,169,19
Carnegie Museum of Natural History,647,105,14
Univ. of North Carolina at Chapel Hill,645,440,41
Univ. of New Mexico,583,844,59
Univ. of Georgia,568,122,18
Mississippi Dept. of Archives and History,551,496,47
New York State Museum,515,638,55
Florida State Univ.,508,92,15
