Institution	Remains Not Made Available for Return	Remains Made Available for Return	% of Remains Made Available for Return
Ohio History Connection	7,936	175	2%
Illinois State Museum	5,801	1,522	21%
Harvard Univ.	5,431	5,248	49%
Univ. of California, Berkeley	4,794	7,189	60%
Indiana Univ.	4,503	1,640	27%
Univ. of Kentucky	3,787	978	21%
Univ. of Tennessee, Knoxville	3,126	2,616	46%
Univ. of Alabama	2,732	10,746	80%
Univ. of Arizona	2,691	1,969	42%
Univ. of Florida	2,620	377	13%
Univ. of Missouri, Columbia	2,386	643	21%
Dept. of Defense	2,001	5,375	73%
Center for American Archeology, Kampsville Archeological Center	1,947	0	0%
Dept. of the Interior	1,931	13,938	88%
Univ. of Texas at Austin	1,898	341	15%
American Museum of Natural History	1,773	1,773	50%
Milwaukee Public Museum	1,557	116	7%
Univ. of Oklahoma	1,477	2,395	62%
Florida Dept. of State	1,448	79	5%
Field Museum	1,288	594	32%
State Museum of Pennsylvania	908	177	16%
Southern Illinois Univ., Carbondale	846	0	0%
Arizona State Univ.	786	35	4%
Museum of New Mexico, Museum of Indian Arts and Culture	779	279	26%
Univ. of Michigan	773	904	54%
Auburn Univ.	762	7	1%
Univ. of Illinois, Urbana-Champaign	761	190	20%
Dept. of Agriculture	721	5,856	89%
Virginia Dept. of Historic Resources	711	169	19%
Carnegie Museum of Natural History	647	105	14%
Univ. of North Carolina at Chapel Hill	645	440	41%
Univ. of New Mexico	583	844	59%
Univ. of Georgia	568	122	18%
Mississippi Dept. of Archives and History	551	496	47%
New York State Museum	515	638	55%
Florida State Univ.	508	92	15%
Nassau County Dept. of Parks and Recreation	482	29	6%
Cincinnati Museum Center	456	73	14%
Yale Univ.	448	420	48%
Dayton Museum of Natural History	438	1	0%
Cleveland Museum of Natural History	438	0	0%
Natural History Museum of Utah	416	67	14%
Univ. of Pennsylvania	397	234	37%
West Virginia Department of Arts, Culture and History	371	1,031	74%
West Texas A and M Univ.	362	0	0%
San Francisco State Univ.	357	255	42%
Univ. of Kansas	357	115	24%
Western Kentucky Univ.	351	2	1%
Tennessee Dept. of Environment and Conservation	342	525	61%
Los Angeles County Natural History Museum	337	202	37%
Kansas State Historical Society	305	103	25%
Missouri Dept. of Natural Resources	301	36	11%
California Dept. of Parks and Recreation	278	947	77%
Sonoma State Univ.	267	320	55%
Museum of Texas Tech Univ.	263	123	32%
North Carolina Office of State Archaeology	259	23	8%
Univ. of Louisville	259	16	6%
Gilcrease Museum	255	354	58%
Ball State Univ.	240	29	11%
Univ. of Texas at San Antonio	236	61	21%
Indiana State Univ.	232	0	0%
Wisconsin Historical Society	227	804	78%
Univ. of South Carolina, SCIAA	205	63	24%
Mississippi State Univ.	196	179	48%
Missouri Dept. of Transportation	196	0	0%
Univ. of Alaska Museum of the North	191	33	15%
Maryland Historical Trust	190	0	0%
Univ. of Toledo	187	241	56%
Pennsylvania Western Univ., California	183	0	0%
Univ. of California, Davis	167	270	62%
Univ. of Cincinnati	166	0	0%
East Carolina Univ.	152	69	31%
Beloit College	147	224	60%
